"LINK_ID","TIME","FLOW","LANE_NO","OCC","ASPEED","LARGE_CAR_FLOW"
"3036","2009-06-01 01:58:46","2","3","1","61","1"
"3036","2009-06-01 01:58:46","4","2","1","51","0"
"3036","2009-06-01 01:58:46","8","1","1","77","0"
"3036","2009-06-01 02:00:46","2","13","1","119","0"
"3036","2009-06-01 02:00:46","3","12","1","51","0"
"3036","2009-06-01 02:00:46","4","11","1","82","1"
"3036","2009-06-01 02:00:46","2","3","1","55","1"
"3036","2009-06-01 02:00:46","10","2","3","53","3"
"3036","2009-06-01 02:00:46","10","1","1","60","0"
"3036","2009-06-01 02:02:45","4","13","1","69","0"
"3036","2009-06-01 02:02:45","6","12","1","55","3"
"3036","2009-06-01 02:02:45","6","11","1","65","1"
"3036","2009-06-01 02:02:45","1","3","1","51","1"
"3036","2009-06-01 02:02:45","6","2","1","68","1"
"3036","2009-06-01 02:02:45","2","1","1","62","1"
"3036","2009-06-01 02:04:54","1","3","1","44","1"
"3036","2009-06-01 02:04:54","6","2","1","39","0"
"3036","2009-06-01 02:04:54","4","1","1","59","0"
"3036","2009-06-01 02:04:54","0","13","0","0","0"
"3036","2009-06-01 02:04:54","4","12","1","53","2"
"3036","2009-06-01 02:04:54","3","11","1","66","0"
"3036","2009-06-01 02:06:54","3","3","1","41","2"
"3036","2009-06-01 02:06:54","5","2","1","40","0"
"3036","2009-06-01 02:06:54","5","1","1","66","1"
"3036","2009-06-01 02:06:54","0","13","0","0","0"
"3036","2009-06-01 02:06:54","4","12","1","51","0"
"3036","2009-06-01 02:06:54","4","11","1","87","0"
"3036","2009-06-01 02:08:53","1","3","1","46","0"
"3036","2009-06-01 02:08:53","11","2","3","47","3"
"3036","2009-06-01 02:08:53","5","1","1","75","0"
"3036","2009-06-01 02:08:53","4","13","1","92","0"
"3036","2009-06-01 02:08:53","7","12","1","74","0"
"3036","2009-06-01 02:08:53","3","11","1","73","1"
"3036","2009-06-01 02:10:53","0","3","0","0","0"
"3036","2009-06-01 02:10:53","9","2","1","60","0"
"3036","2009-06-01 02:10:53","6","1","2","42","1"
"3036","2009-06-01 02:10:53","0","13","0","0","0"
"3036","2009-06-01 02:10:53","7","12","1","85","0"
"3036","2009-06-01 02:10:53","6","11","1","66","0"
"3036","2009-06-01 02:14:52","1","3","1","40","0"
"3036","2009-06-01 02:14:52","6","2","1","66","0"
"3036","2009-06-01 02:14:52","2","1","1","55","0"
"3036","2009-06-01 02:14:52","2","13","1","49","1"
"3036","2009-06-01 02:14:52","7","12","2","66","2"
"3036","2009-06-01 02:14:52","8","11","1","63","0"
"3036","2009-06-01 02:16:51","3","3","1","50","0"
"3036","2009-06-01 02:16:51","11","2","3","45","2"
"3036","2009-06-01 02:16:51","6","1","1","104","0"
"3036","2009-06-01 02:16:51","2","13","1","48","0"
"3036","2009-06-01 02:16:51","7","12","1","87","0"
"3036","2009-06-01 02:16:51","3","11","1","77","0"
"3036","2009-06-01 02:20:51","1","3","1","58","0"
"3036","2009-06-01 02:20:51","7","2","1","40","1"
"3036","2009-06-01 02:20:51","5","1","1","80","1"
"3036","2009-06-01 02:20:51","2","13","1","48","0"
"3036","2009-06-01 02:20:51","10","12","1","83","1"
"3036","2009-06-01 02:20:51","4","11","1","81","0"
"3036","2009-06-01 02:22:50","3","3","1","58","0"
"3036","2009-06-01 02:22:50","7","2","1","63","0"
"3036","2009-06-01 02:22:50","5","1","1","92","0"
"3036","2009-06-01 02:22:50","1","13","1","43","1"
"3036","2009-06-01 02:22:50","6","12","1","86","0"
"3036","2009-06-01 02:22:50","9","11","1","91","0"
"3036","2009-06-01 02:26:49","5","3","1","50","2"
"3036","2009-06-01 02:26:49","8","2","2","48","1"
"3036","2009-06-01 02:26:49","4","1","1","76","0"
"3036","2009-06-01 02:26:49","2","13","1","107","0"
"3036","2009-06-01 02:26:49","5","12","1","86","0"
"3036","2009-06-01 02:26:49","1","11","1","67","0"
"3036","2009-06-01 02:28:49","0","3","0","0","0"
"3036","2009-06-01 02:28:49","7","2","1","52","0"
"3036","2009-06-01 02:28:49","4","1","1","113","0"
"3036","2009-06-01 02:28:49","2","13","1","59","1"
"3036","2009-06-01 02:28:49","13","12","2","60","1"
"3036","2009-06-01 02:28:49","8","11","1","72","3"
"3036","2009-06-01 02:32:48","2","3","1","77","0"
"3036","2009-06-01 02:32:48","7","2","2","42","1"
"3036","2009-06-01 02:32:48","4","1","1","77","0"
"3036","2009-06-01 02:32:48","6","13","1","76","2"
"3036","2009-06-01 02:32:48","9","12","3","49","3"
"3036","2009-06-01 02:32:48","9","11","1","72","3"
"3036","2009-06-01 02:34:47","3","11","1","70","0"
"3036","2009-06-01 02:34:47","1","3","1","36","0"
"3036","2009-06-01 02:34:47","3","2","1","55","0"
"3036","2009-06-01 02:34:47","4","1","1","66","0"
"3036","2009-06-01 02:34:47","1","13","1","77","0"
"3036","2009-06-01 02:34:47","3","12","1","119","0"
"3036","2009-06-01 02:36:47","1","3","1","55","0"
"3036","2009-06-01 02:36:47","8","2","1","57","0"
"3036","2009-06-01 02:36:47","3","1","1","70","0"
"3036","2009-06-01 02:36:47","2","13","1","89","0"
"3036","2009-06-01 02:36:47","8","12","1","80","2"
"3036","2009-06-01 02:36:47","7","11","1","86","0"
"3036","2009-06-01 02:38:46","1","3","1","57","0"
"3036","2009-06-01 02:38:46","4","2","1","47","0"
"3036","2009-06-01 02:38:46","3","1","1","92","0"
"3036","2009-06-01 02:38:46","2","13","1","59","1"
"3036","2009-06-01 02:38:46","5","12","1","69","2"
"3036","2009-06-01 02:38:46","5","11","1","68","1"
"3036","2009-06-01 02:42:45","3","3","2","33","1"
"3036","2009-06-01 02:42:45","6","2","3","33","1"
"3036","2009-06-01 02:42:45","11","1","1","63","0"
"3036","2009-06-01 02:42:45","2","13","1","46","1"
"3036","2009-06-01 02:42:45","6","12","1","80","1"
"3036","2009-06-01 02:42:45","5","11","1","68","1"
"3036","2009-06-01 02:44:45","2","3","1","23","0"
"3036","2009-06-01 02:44:45","8","2","1","54","1"
"3036","2009-06-01 02:44:45","6","1","1","87","0"
"3036","2009-06-01 02:44:45","2","13","1","65","1"
"3036","2009-06-01 02:44:45","5","12","1","69","3"
"3036","2009-06-01 02:44:45","5","11","1","74","0"
"3036","2009-06-01 02:48:44","0","3","0","0","0"
"3036","2009-06-01 02:48:44","5","2","1","51","1"
"3036","2009-06-01 02:48:44","1","1","1","86","0"
"3036","2009-06-01 02:48:44","0","13","0","0","0"
"3036","2009-06-01 02:48:44","8","12","2","67","4"
"3036","2009-06-01 02:48:44","5","11","1","52","0"
"3036","2009-06-01 02:50:44","2","3","1","38","0"
"3036","2009-06-01 02:50:44","11","2","2","61","3"
"3036","2009-06-01 02:50:44","4","1","1","55","0"
"3036","2009-06-01 02:50:44","0","13","0","0","0"
"3036","2009-06-01 02:50:44","2","12","1","113","0"
"3036","2009-06-01 02:50:44","0","11","0","0","0"
"3036","2009-06-01 02:52:43","3","3","1","42","0"
"3036","2009-06-01 02:52:43","2","2","1","53","0"
"3036","2009-06-01 02:52:43","4","1","1","78","0"
"3036","2009-06-01 02:52:43","2","13","1","57","0"
"3036","2009-06-01 02:52:43","7","12","1","75","2"
"3036","2009-06-01 02:52:43","4","11","1","44","1"
"3036","2009-06-01 02:54:43","1","3","1","86","0"
"3036","2009-06-01 02:54:43","6","2","1","42","1"
"3036","2009-06-01 02:54:43","2","1","1","78","0"
"3036","2009-06-01 02:54:43","3","13","1","46","0"
"3036","2009-06-01 02:54:43","2","12","1","62","1"
"3036","2009-06-01 02:54:43","1","11","1","40","0"
"3036","2009-06-01 02:56:42","2","3","1","81","0"
"3036","2009-06-01 02:56:42","1","2","1","49","0"
"3036","2009-06-01 02:56:42","0","1","0","0","0"
"3036","2009-06-01 02:56:42","2","13","1","48","1"
"3036","2009-06-01 02:56:42","5","12","1","91","0"
"3036","2009-06-01 02:56:42","4","11","1","52","0"
"3036","2009-06-01 02:58:42","4","3","1","74","1"
"3036","2009-06-01 02:58:42","5","2","1","37","1"
"3036","2009-06-01 02:58:42","3","1","1","68","0"
"3036","2009-06-01 02:58:42","1","13","1","63","0"
"3036","2009-06-01 02:58:42","8","12","2","63","3"
"3036","2009-06-01 02:58:42","9","11","2","64","2"
"3036","2009-06-01 03:00:41","2","3","1","117","0"
"3036","2009-06-01 03:00:41","7","2","1","43","0"
"3036","2009-06-01 03:00:41","3","1","1","61","0"
"3036","2009-06-01 03:00:41","1","13","1","99","0"
"3036","2009-06-01 03:00:41","7","12","1","66","0"
"3036","2009-06-01 03:00:41","7","11","1","60","0"
"3036","2009-06-01 03:02:41","2","3","1","53","1"
"3036","2009-06-01 03:02:41","5","2","1","40","1"
"3036","2009-06-01 03:02:41","6","1","1","65","0"
"3036","2009-06-01 03:02:41","2","13","1","69","0"
"3036","2009-06-01 03:02:41","6","12","3","49","3"
"3036","2009-06-01 03:02:41","2","11","1","54","1"
"3036","2009-06-01 03:04:40","3","3","1","96","0"
"3036","2009-06-01 03:04:40","8","2","1","59","1"
"3036","2009-06-01 03:04:40","5","1","1","56","0"
"3036","2009-06-01 03:04:40","3","13","1","70","0"
"3036","2009-06-01 03:04:40","6","12","1","50","0"
"3036","2009-06-01 03:04:40","4","11","1","76","0"
"3036","2009-06-01 03:06:40","3","3","1","50","1"
"3036","2009-06-01 03:06:40","7","2","1","47","1"
"3036","2009-06-01 03:06:40","4","1","1","65","0"
"3036","2009-06-01 03:06:40","4","13","2","45","2"
"3036","2009-06-01 03:06:40","9","12","5","60","4"
"3036","2009-06-01 03:06:40","9","11","4","48","2"
"3036","2009-06-01 03:08:39","1","3","1","83","0"
"3036","2009-06-01 03:08:39","5","2","1","59","0"
"3036","2009-06-01 03:08:39","6","1","1","81","0"
"3036","2009-06-01 03:08:39","0","13","0","0","0"
"3036","2009-06-01 03:08:39","5","12","2","58","2"
"3036","2009-06-01 03:08:39","5","11","1","68","1"
"3036","2009-06-01 03:12:38","0","3","0","0","0"
"3036","2009-06-01 03:12:38","7","2","1","55","0"
"3036","2009-06-01 03:12:38","0","1","0","0","0"
"3036","2009-06-01 03:12:38","0","13","0","0","0"
"3036","2009-06-01 03:12:38","1","12","1","52","0"
"3036","2009-06-01 03:12:38","2","11","1","55","0"
"3036","2009-06-01 03:14:38","1","3","1","75","0"
"3036","2009-06-01 03:14:38","6","2","2","38","1"
"3036","2009-06-01 03:14:38","7","1","1","52","1"
"3036","2009-06-01 03:14:38","4","13","1","67","1"
"3036","2009-06-01 03:14:38","10","12","1","94","1"
"3036","2009-06-01 03:14:38","6","11","1","53","0"
"3036","2009-06-01 03:18:37","1","3","1","64","0"
"3036","2009-06-01 03:18:37","3","2","1","55","0"
"3036","2009-06-01 03:18:37","3","1","1","81","0"
"3036","2009-06-01 03:18:37","3","13","1","79","1"
"3036","2009-06-01 03:18:37","3","12","1","54","1"
"3036","2009-06-01 03:18:37","4","11","1","58","1"
"3036","2009-06-01 03:20:37","3","3","1","78","0"
"3036","2009-06-01 03:20:37","9","2","2","45","1"
"3036","2009-06-01 03:20:37","6","1","1","62","0"
"3036","2009-06-01 03:20:37","3","13","1","88","0"
"3036","2009-06-01 03:20:37","4","12","1","74","1"
"3036","2009-06-01 03:20:37","2","11","1","48","0"
"3036","2009-06-01 03:24:36","2","3","1","46","1"
"3036","2009-06-01 03:24:36","4","2","1","41","0"
"3036","2009-06-01 03:24:36","3","1","1","73","0"
"3036","2009-06-01 03:24:36","2","13","1","113","0"
"3036","2009-06-01 03:24:36","6","12","1","69","1"
"3036","2009-06-01 03:24:36","7","11","1","61","0"
"3036","2009-06-01 03:26:35","1","3","1","79","0"
"3036","2009-06-01 03:26:35","8","2","2","38","0"
"3036","2009-06-01 03:26:35","2","1","1","81","0"
"3036","2009-06-01 03:26:35","2","13","1","68","0"
"3036","2009-06-01 03:26:35","7","12","1","67","0"
"3036","2009-06-01 03:26:35","7","11","1","73","0"
"3036","2009-06-01 03:30:34","0","3","0","0","0"
"3036","2009-06-01 03:30:34","4","2","1","41","0"
"3036","2009-06-01 03:30:34","3","1","1","53","0"
"3036","2009-06-01 03:30:34","2","13","1","48","0"
"3036","2009-06-01 03:30:34","5","12","1","71","2"
"3036","2009-06-01 03:30:34","7","11","1","59","0"
"3036","2009-06-01 03:32:34","3","3","1","57","1"
"3036","2009-06-01 03:32:34","6","2","1","46","0"
"3036","2009-06-01 03:32:34","6","1","1","67","0"
"3036","2009-06-01 03:32:34","3","13","1","72","0"
"3036","2009-06-01 03:32:34","8","12","2","53","2"
"3036","2009-06-01 03:32:34","9","11","1","60","0"
"3036","2009-06-01 03:36:33","3","3","1","66","0"
"3036","2009-06-01 03:36:33","5","2","1","45","0"
"3036","2009-06-01 03:36:33","4","1","1","43","1"
